datetime,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率
2023-01-03,14.761,14.225,14.906,14.006,40127658,5763333120.0,6.2,-2.06,-0.299,1.63
2023-01-04,14.477,14.659,14.763,14.151,43132360,6304004096.0,4.3,3.05,0.434,1.75
2023-01-05,14.401,14.175,14.474,14.058,38916811,5568175872.0,2.84,-3.3,-0.484,1.58
2023-01-06,14.384,14.769,14.92,13.944,40504362,5913898240.0,6.89,4.19,0.594,1.65
2023-01-09,15.194,15.538,15.966,15.051,50423056,7965323264.0,6.2,5.21,0.769,2.05
2023-01-10,15.417,15.819,15.872,15.382,38410126,6048145920.0,3.15,1.81,0.281,1.56
2023-01-11,15.75,15.911,15.938,15.473,35328493,5589316352.0,2.94,0.58,0.092,1.44
2023-01-12,16.01,16.421,16.547,15.402,55140906,8932819712.0,7.2,3.21,0.51,2.24
2023-01-13,16.188,16.809,16.832,16.075,44728706,7458987008.0,4.61,2.36,0.388,1.82
2023-01-17,16.809,17.612,17.638,16.809,51110216,8951675392.0,4.93,4.78,0.803,2.08
2023-01-18,17.577,17.287,17.783,17.192,43962355,7703990272.0,3.36,-1.85,-0.325,1.79
2023-01-19,16.946,16.675,17.107,16.641,45293160,7669297664.0,2.7,-3.54,-0.612,1.84
2023-01-20,16.921,17.749,17.766,16.735,56496712,9850451712.0,6.18,6.44,1.074,2.3
2023-01-23,17.974,19.103,19.155,17.728,65516259,12334010112.0,8.04,7.63,1.354,2.66
2023-01-24,18.737,19.175,19.405,18.73,49620410,9559372032.0,3.53,0.38,0.072,2.02
2023-01-25,18.823,19.233,19.28,18.49,44953711,8536128256.0,4.12,0.3,0.058,1.83
2023-01-26,19.611,19.712,20.076,19.188,48953542,9616339968.0,4.62,2.49,0.479,1.99
2023-01-27,19.372,20.275,20.538,19.315,54214198,10936258816.0,6.2,2.86,0.563,2.2
2023-01-30,19.86,19.072,20.05,19.06,48861115,9555120128.0,4.88,-5.93,-1.203,1.98
2023-01-31,19.08,19.447,19.597,18.86,49801658,9665626880.0,3.86,1.97,0.375,2.02
2023-02-01,19.601,20.853,21.102,19.521,66047704,13448895488.0,8.13,7.23,1.406,2.68
2023-02-02,20.91,21.619,21.859,20.61,56427580,12114073088.0,5.99,3.67,0.766,2.29
2023-02-03,20.91,21.01,21.655,20.699,42936595,9153818624.0,4.42,-2.82,-0.609,1.74
2023-02-06,20.716,20.999,21.48,20.696,45219709,9589764608.0,3.73,-0.05,-0.011,1.83
2023-02-07,21.292,22.083,22.169,21.06,66414961,14410333952.0,5.28,5.16,1.084,2.69
2023-02-08,22.297,22.115,22.788,21.918,55965122,12527593472.0,3.94,0.14,0.032,2.27
2023-02-09,22.516,22.247,22.93,22.03,52387578,11876990976.0,4.07,0.6,0.132,2.12
2023-02-10,21.6,21.175,21.988,20.721,55073675,11732983296.0,5.7,-4.82,-1.072,2.23
2023-02-13,21.448,21.698,21.958,20.872,47491862,10305320960.0,5.13,2.47,0.523,1.93
2023-02-14,21.488,22.881,22.959,21.276,67547350,15254191104.0,7.76,5.45,1.183,2.74
2023-02-15,22.459,22.674,22.765,22.016,42118826,9493268736.0,3.27,-0.9,-0.207,1.71
2023-02-16,22.043,21.912,22.46,21.837,41202628,9167261184.0,2.75,-3.36,-0.762,1.67
2023-02-17,21.541,21.298,21.65,20.885,46588764,9940586240.0,3.49,-2.8,-0.614,1.89
2023-02-21,20.91,20.565,21.404,20.528,41001455,8589870080.0,4.11,-3.44,-0.733,1.66
2023-02-22,20.617,20.664,21.014,20.331,51318432,10663080704.0,3.32,0.48,0.099,2.08
2023-02-23,23.35,23.574,23.798,22.935,111799541,26325180160.0,4.18,14.08,2.91,4.53
2023-02-24,23.135,23.196,23.384,22.857,58971591,13684192000.0,2.24,-1.6,-0.378,2.39
2023-02-27,23.58,23.411,23.79,23.364,45299367,10716002560.0,1.84,0.93,0.215,1.84
2023-02-28,23.282,23.126,23.735,23.116,45596280,10710908928.0,2.64,-1.22,-0.285,1.85
2023-03-01,23.102,22.608,23.166,22.418,46002562,10485558528.0,3.23,-2.24,-0.518,1.87
2023-03-02,22.398,23.224,23.29,22.342,39007465,8946495744.0,4.19,2.72,0.616,1.58
2023-03-03,23.23,23.8,23.81,23.04,41239330,9701385984.0,3.32,2.48,0.576,1.67
2023-03-06,23.801,23.464,24.158,23.397,43742923,10433176064.0,3.2,-1.41,-0.336,1.77
2023-03-07,23.514,23.202,24.039,23.155,51515388,12197371904.0,3.77,-1.12,-0.262,2.09
2023-03-08,23.401,24.095,24.114,23.338,51357339,12261108224.0,3.34,3.85,0.893,2.08
2023-03-09,24.089,23.35,24.368,23.297,50125699,11998404608.0,4.44,-3.09,-0.745,2.03
2023-03-10,23.323,22.879,23.541,22.64,47486565,10967570688.0,3.86,-2.02,-0.471,1.93
2023-03-13,22.666,22.88,23.212,22.211,42189032,9673755136.0,4.38,0.0,0.001,1.71
2023-03-14,23.41,23.977,24.133,23.374,47491013,11365927936.0,3.32,4.79,1.097,1.93
2023-03-15,23.675,24.142,24.2,23.274,52448574,12487484416.0,3.86,0.69,0.165,2.13
2023-03-16,23.941,25.455,25.502,23.808,58494626,14599193856.0,7.02,5.44,1.313,2.37
2023-03-17,25.896,25.639,26.313,25.582,84854656,22000398336.0,2.87,0.72,0.184,3.44
2023-03-20,25.529,25.814,25.938,25.044,43274719,11116999680.0,3.49,0.68,0.175,1.75
2023-03-21,26.094,26.113,26.306,25.295,54740776,14248896512.0,3.92,1.16,0.299,2.22
2023-03-22,26.339,26.382,27.503,26.151,79729511,21527226112.0,5.18,1.03,0.269,3.23
2023-03-23,27.03,27.105,27.413,26.604,56488876,15363133696.0,3.07,2.74,0.723,2.29
2023-03-24,26.945,26.693,27.081,26.269,45541407,12134860544.0,3.0,-1.52,-0.412,1.85
2023-03-27,26.751,26.445,26.914,26.279,36102574,9622483712.0,2.38,-0.93,-0.248,1.46
2023-03-28,26.361,26.324,26.427,25.764,35610378,9320399104.0,2.51,-0.46,-0.121,1.44
2023-03-29,26.739,26.898,26.992,26.511,39369387,10589934080.0,1.83,2.18,0.574,1.6
2023-03-30,27.143,27.297,27.413,27.016,36451574,9961735680.0,1.48,1.48,0.399,1.48
2023-03-31,27.054,27.691,27.748,27.019,43393277,11968931072.0,2.67,1.44,0.394,1.76
2023-04-03,27.423,27.879,27.914,27.25,39871560,11043120896.0,2.4,0.68,0.188,1.62
2023-04-04,27.88,27.367,27.914,27.221,36859153,10178470656.0,2.49,-1.84,-0.512,1.49
2023-04-05,26.743,26.795,26.912,26.309,51501474,13737295616.0,2.2,-2.09,-0.572,2.09
2023-04-06,26.498,26.951,26.994,26.341,39765434,10681668608.0,2.44,0.58,0.156,1.61
2023-04-10,26.737,27.493,27.535,26.583,39527855,10785738240.0,3.53,2.01,0.542,1.6
2023-04-11,27.638,27.083,27.704,27.04,31437817,8589913856.0,2.42,-1.49,-0.41,1.27
