datetime,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率
2021-01-04,12.982,12.992,13.531,12.841,14016045,7439078912.0,5.34,0.46,0.059,2.26
2021-01-05,12.978,13.283,13.322,12.965,8068998,4304833536.0,2.75,2.24,0.291,1.3
2021-01-06,13.101,12.493,13.123,12.464,14510575,7505540352.0,4.96,-5.95,-0.79,2.34
2021-01-07,12.846,13.222,13.256,12.765,11537037,6090602752.0,3.93,5.84,0.729,1.86
2021-01-08,13.241,13.155,13.299,12.92,7313215,3866284304.0,2.87,-0.51,-0.067,1.18
2021-01-11,13.297,13.5,13.839,13.241,12975720,7143451136.0,4.55,2.62,0.345,2.1
2021-01-12,13.631,13.363,13.633,13.223,7286943,3939863296.0,3.04,-1.01,-0.137,1.18
2021-01-13,13.368,13.41,13.503,13.263,5250711,2839200048.0,1.8,0.35,0.047,0.85
2021-01-14,13.453,13.078,13.478,13.059,7078007,3777431888.0,3.12,-2.48,-0.332,1.14
2021-01-15,13.106,12.738,13.203,12.727,6944532,3611606064.0,3.64,-2.6,-0.34,1.12
2021-01-19,12.894,12.903,12.972,12.722,5654672,2935378032.0,1.96,1.3,0.165,0.91
2021-01-20,12.99,13.244,13.309,12.935,6464272,3442325616.0,2.9,2.64,0.341,1.04
2021-01-21,13.297,13.746,13.877,13.131,8458490,4624283392.0,5.63,3.79,0.502,1.37
2021-01-22,13.618,13.591,13.72,13.505,6170464,3390019520.0,1.56,-1.13,-0.155,1.0
2021-01-25,13.66,13.531,13.707,13.115,6277779,3412104544.0,4.36,-0.44,-0.06,1.01
2021-01-26,13.459,13.313,13.523,13.266,4099510,2213366896.0,1.9,-1.61,-0.218,0.66
2021-01-27,13.108,12.796,13.111,12.672,9281821,4821162240.0,3.3,-3.88,-0.517,1.5
2021-01-28,12.874,12.929,13.218,12.839,5707899,2999554208.0,2.96,1.04,0.133,0.92
2021-01-29,12.953,12.868,13.213,12.79,6788801,3547469232.0,3.27,-0.47,-0.061,1.1
2021-02-01,12.931,13.115,13.149,12.781,5430108,2856997632.0,2.86,1.92,0.247,0.88
2021-02-02,13.277,13.435,13.45,13.164,5510957,2966119664.0,2.18,2.44,0.32,0.89
2021-02-03,13.514,13.409,13.81,13.395,6135232,3358630144.0,3.09,-0.19,-0.026,0.99
2021-02-04,13.409,13.542,13.552,13.216,5033462,2725896240.0,2.51,0.99,0.133,0.81
2021-02-05,13.603,13.469,13.615,13.424,4228841,2300914832.0,1.41,-0.54,-0.073,0.68
2021-02-08,13.605,14.317,14.352,13.605,10865571,6187001088.0,5.55,6.3,0.848,1.75
2021-02-09,14.219,14.141,14.461,14.101,7189003,4135103024.0,2.51,-1.23,-0.176,1.16
2021-02-10,14.341,14.642,14.783,14.219,12133808,7126419456.0,3.99,3.54,0.501,1.96
2021-02-11,14.858,15.129,15.15,14.803,11270693,6828332032.0,2.37,3.33,0.487,1.82
2021-02-12,14.928,14.839,15.169,14.653,9368937,5635406848.0,3.41,-1.92,-0.29,1.51
2021-02-16,14.942,15.208,15.251,14.828,8048988,4898203904.0,2.85,2.49,0.369,1.3
2021-02-17,15.049,14.784,15.102,14.658,6892467,4121584480.0,2.92,-2.79,-0.424,1.11
2021-02-18,14.607,14.707,14.751,14.453,5852020,3450929472.0,2.02,-0.52,-0.077,0.94
2021-02-19,14.903,14.805,15.055,14.725,6793103,4072968032.0,2.24,0.67,0.098,1.1
2021-02-22,14.653,14.234,15.011,14.203,8147139,4789644800.0,5.46,-3.86,-0.571,1.31
2021-02-23,13.953,14.02,14.117,13.268,9794483,5438694656.0,5.96,-1.5,-0.214,1.58
2021-02-24,14.001,14.377,14.385,13.634,11207977,6383929856.0,5.36,2.55,0.357,1.81
2021-02-25,13.923,13.186,14.253,13.094,20610901,11271728384.0,8.06,-8.28,-1.191,3.32
2021-02-26,13.631,13.593,13.733,13.239,12523260,6857226752.0,3.75,3.09,0.407,2.02
2021-03-01,13.753,13.72,13.803,13.431,8829575,4845203456.0,2.74,0.93,0.127,1.42
2021-03-02,13.778,13.284,13.799,13.274,6602853,3595724496.0,3.83,-3.18,-0.436,1.06
2021-03-03,13.304,12.683,13.33,12.677,9439757,4905914624.0,4.92,-4.52,-0.601,1.52
2021-03-04,12.679,12.248,12.853,11.962,14333629,7141872896.0,7.03,-3.43,-0.435,2.31
2021-03-05,12.428,12.34,12.428,11.557,13570971,6623277824.0,7.11,0.75,0.092,2.19
2021-03-08,12.328,11.471,12.349,11.445,13577792,6469061632.0,7.33,-7.04,-0.869,2.19
2021-03-09,12.012,12.402,12.499,11.941,13045638,6472339456.0,4.86,8.12,0.931,2.1
2021-03-10,12.723,12.35,12.862,12.34,9609414,4874234112.0,4.21,-0.42,-0.052,1.55
2021-03-11,12.832,12.876,12.928,12.617,7497857,3882163632.0,2.52,4.26,0.526,1.21
2021-03-12,12.53,12.738,12.771,12.472,6099099,3119092208.0,2.32,-1.07,-0.138,0.98
2021-03-15,12.747,13.073,13.089,12.649,5563011,2905199008.0,3.45,2.63,0.335,0.9
2021-03-16,13.239,13.173,13.395,12.999,6803240,3633390304.0,3.03,0.76,0.1,1.1
2021-03-17,12.922,13.223,13.335,12.872,6096605,3225023872.0,3.51,0.38,0.05,0.98
2021-03-18,13.019,12.605,13.066,12.599,7354702,3799660864.0,3.53,-4.67,-0.618,1.19
2021-03-19,12.632,12.728,12.804,12.495,7480174,3833255280.0,2.45,0.98,0.123,1.21
2021-03-22,12.795,13.068,13.277,12.789,7445077,3934707776.0,3.83,2.67,0.34,1.2
2021-03-23,13.136,12.953,13.227,12.903,5551152,2928275536.0,2.48,-0.88,-0.115,0.89
2021-03-24,13.033,12.525,13.041,12.519,6145963,3161975472.0,4.03,-3.3,-0.428,0.99
2021-03-25,12.382,12.417,12.597,12.154,7378614,3685353776.0,3.54,-0.86,-0.108,1.19
2021-03-26,12.437,12.721,12.738,12.256,9099224,4592140544.0,3.88,2.45,0.304,1.46
2021-03-29,12.702,12.83,12.945,12.582,6837997,3527640800.0,2.85,0.86,0.109,1.1
2021-03-30,12.724,12.754,12.857,12.587,5005062,2573362624.0,2.1,-0.59,-0.076,0.8
2021-03-31,12.898,13.23,13.353,12.865,7869438,4194537616.0,3.83,3.73,0.476,1.26
2021-04-01,13.454,13.694,13.752,13.393,7706865,4233513168.0,2.71,3.51,0.464,1.24
2021-04-05,13.75,13.87,13.896,13.615,6391785,3556553920.0,2.05,1.29,0.176,1.03
2021-04-06,13.882,13.744,13.936,13.656,4793649,2669102160.0,2.02,-0.91,-0.126,0.77
2021-04-07,13.763,14.026,14.125,13.594,6282109,3534500944.0,3.86,2.05,0.282,1.01
2021-04-08,14.135,14.199,14.354,14.131,6110373,3506021584.0,1.59,1.23,0.173,0.98
2021-04-09,14.096,14.282,14.29,14.057,4879272,2796578448.0,1.64,0.58,0.083,0.78
2021-04-12,14.172,15.091,15.235,14.021,21733050,12990033152.0,8.5,5.66,0.809,3.49
2021-04-13,15.114,15.562,15.582,15.008,16905297,10486438144.0,3.8,3.12,0.471,2.72
2021-04-14,15.507,15.159,15.602,15.11,9637548,5960917760.0,3.16,-2.59,-0.403,1.55
2021-04-15,15.545,16.019,16.096,15.514,14962017,9593476096.0,3.84,5.67,0.86,2.4
2021-04-16,15.935,15.795,16.048,15.747,8380189,5351949312.0,1.88,-1.4,-0.224,1.35
2021-04-19,15.419,15.244,15.69,15.115,10110452,6257385216.0,3.64,-3.49,-0.551,1.62
2021-04-20,15.205,15.053,15.379,14.845,8353326,5069906688.0,3.5,-1.25,-0.191,1.34
2021-04-21,15.001,15.243,15.245,14.984,5419426,3309661088.0,1.73,1.26,0.19,0.87
2021-04-22,15.257,14.732,15.321,14.666,6944657,4176438784.0,4.3,-3.35,-0.511,1.12
2021-04-23,14.816,15.147,15.217,14.782,5694305,3458229664.0,2.95,2.82,0.415,0.91
2021-04-26,15.067,15.36,15.361,15.007,4944927,3035158112.0,2.34,1.41,0.213,0.79
2021-04-27,15.461,15.264,15.553,15.237,4114325,2541609360.0,2.06,-0.63,-0.096,0.66
2021-04-28,15.247,15.159,15.414,15.098,5235405,3212098000.0,2.07,-0.69,-0.105,0.84
2021-04-29,15.282,15.207,15.319,14.954,4329912,2642402480.0,2.41,0.32,0.048,0.7
2021-04-30,15.057,14.892,15.247,14.879,5047752,3050755216.0,2.42,-2.07,-0.315,0.81
2021-05-03,15.007,14.719,15.129,14.67,5097796,3044497824.0,3.08,-1.16,-0.173,0.82
2021-05-04,14.519,14.233,14.52,13.892,10133120,5775445248.0,4.27,-3.3,-0.486,1.63
2021-05-05,14.591,14.341,14.696,14.27,7300576,4266194784.0,2.99,0.76,0.108,1.17
2021-05-06,14.377,14.405,14.453,14.1,4834523,2787646720.0,2.46,0.45,0.064,0.78
2021-05-07,14.69,14.694,14.853,14.554,5733183,3401089216.0,2.08,2.01,0.289,0.92
2021-05-10,14.669,14.148,14.688,14.132,6722595,3867130128.0,3.78,-3.72,-0.546,1.08
2021-05-11,13.707,14.188,14.237,13.632,7139634,4033680880.0,4.28,0.28,0.04,1.15
2021-05-12,13.892,13.641,14.142,13.591,7585233,4209509584.0,3.88,-3.86,-0.547,1.22
2021-05-13,13.916,13.547,13.963,13.341,7143187,3926721648.0,4.56,-0.69,-0.094,1.15
2021-05-14,13.772,14.125,14.21,13.631,6465375,3656029504.0,4.27,4.27,0.578,1.04
2021-05-17,14.039,14.048,14.051,13.736,5424521,3045374688.0,2.23,-0.55,-0.077,0.87
2021-05-18,14.149,13.898,14.286,13.886,4656356,2643826224.0,2.85,-1.07,-0.15,0.75
2021-05-19,13.449,13.948,13.962,13.425,8599984,4768441344.0,3.86,0.36,0.05,1.38
2021-05-20,14.185,14.495,14.566,14.153,8039798,4676738816.0,2.96,3.92,0.547,1.29
