datetime,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率
2024-01-02,185.13,183.62,186.42,181.865,82488674,15330141952.0,2.39,-3.62,-6.89,0.53
2024-01-03,182.2,182.23,183.86,181.41,58414460,10766937600.0,1.33,-0.76,-1.39,0.38
2024-01-04,180.13,179.89,181.067,178.86,71983570,13101958400.0,1.21,-1.28,-2.34,0.47
2024-01-05,179.97,179.16,180.74,178.15,62379661,11320882432.0,1.44,-0.41,-0.73,0.4
2024-01-08,180.065,183.54,183.58,179.48,59144470,10906405632.0,2.29,2.44,4.38,0.38
2024-01-09,181.9,183.12,183.13,180.71,42841809,7898515200.0,1.32,-0.23,-0.42,0.28
2024-01-10,182.33,184.17,184.38,181.9,46792908,8667178496.0,1.35,0.57,1.05,0.3
2024-01-11,184.52,183.57,185.03,181.6,49128408,9089762560.0,1.86,-0.33,-0.6,0.32
2024-01-12,184.04,183.9,184.72,183.17,40477782,7521505792.0,0.84,0.18,0.33,0.26
2024-01-16,180.14,181.61,182.24,178.914,65603041,11994262016.0,1.81,-1.25,-2.29,0.42
2024-01-17,179.25,180.66,180.91,178.28,47317433,8606836992.0,1.45,-0.52,-0.95,0.31
2024-01-18,184.07,186.61,187.12,183.81,78005754,14662718208.0,1.83,3.29,5.95,0.5
2024-01-19,187.31,189.54,189.93,186.8,68902985,13133555200.0,1.68,1.57,2.93,0.45
2024-01-22,190.28,191.87,193.31,190.24,60133852,11666823168.0,1.62,1.23,2.33,0.39
2024-01-23,193.0,193.16,193.73,191.81,42355590,8251532544.0,1.0,0.67,1.29,0.27
2024-01-24,193.4,192.48,194.36,192.32,53631316,10470774784.0,1.06,-0.35,-0.68,0.35
2024-01-25,193.2,192.15,194.248,191.093,54822126,10678422272.0,1.64,-0.17,-0.33,0.36
2024-01-26,192.25,190.4,192.74,189.92,44594011,8612703488.0,1.47,-0.91,-1.75,0.29
2024-01-29,189.99,189.71,190.18,187.56,47145622,9018030080.0,1.38,-0.36,-0.69,0.31
2024-01-30,188.92,186.02,189.78,185.45,55859370,10547513600.0,2.28,-1.95,-3.69,0.36
2024-01-31,185.02,182.38,185.075,182.33,55467803,10281870080.0,1.48,-1.96,-3.64,0.36
2024-02-01,181.965,184.84,184.93,181.8,64885408,12070468096.0,1.72,1.35,2.46,0.42
2024-02-02,177.84,183.83,185.31,177.23,102551680,18954387200.0,4.37,-0.55,-1.01,0.66
2024-02-05,186.13,185.66,187.23,183.82,69668820,13081797888.0,1.85,1.0,1.83,0.45
2024-02-06,184.84,187.28,187.29,184.75,43490759,8197891840.0,1.37,0.87,1.62,0.28
2024-02-07,188.62,187.39,189.03,186.59,53438955,10119390208.0,1.3,0.06,0.11,0.35
2024-02-08,187.365,186.3,187.515,185.33,40962046,7713107456.0,1.17,-0.58,-1.09,0.27
2024-02-09,186.87,187.07,188.21,186.22,45155216,8534981888.0,1.07,0.41,0.77,0.29
2024-02-12,186.635,185.37,186.89,185.01,41781934,7838143744.0,1.0,-0.91,-1.7,0.27
2024-02-13,183.99,183.26,184.43,181.733,56529529,10456056832.0,1.45,-1.14,-2.11,0.37
2024-02-14,183.54,182.37,183.75,180.66,54630517,10028958464.0,1.69,-0.49,-0.89,0.35
2024-02-15,181.77,182.08,182.71,179.57,65434496,11953916160.0,1.72,-0.16,-0.29,0.42
2024-02-16,181.64,180.53,183.07,179.885,49752465,9092412416.0,1.75,-0.85,-1.55,0.32
2024-02-20,180.01,179.78,180.65,178.22,53665553,9715019264.0,1.35,-0.42,-0.75,0.35
2024-02-21,180.16,180.54,181.109,178.88,41529674,7556852224.0,1.24,0.42,0.76,0.27
2024-02-22,181.7,182.59,183.175,180.68,52292208,9612964864.0,1.38,1.14,2.05,0.34
2024-02-23,183.23,180.74,183.26,180.45,45119677,8257767936.0,1.54,-1.01,-1.85,0.29
2024-02-26,180.46,179.38,180.98,178.87,40867421,7409815808.0,1.17,-0.75,-1.36,0.26
2024-02-27,179.32,180.85,182.143,177.78,54318851,9875802112.0,2.43,0.82,1.47,0.35
2024-02-28,180.73,179.64,181.34,178.35,48953939,8867770880.0,1.65,-0.67,-1.21,0.32
2024-02-29,179.49,178.97,180.79,177.75,136682597,24696241152.0,1.69,-0.37,-0.67,0.89
2024-03-01,177.77,177.88,178.75,175.6,73563082,13168251392.0,1.76,-0.61,-1.09,0.48
2024-03-04,174.37,173.32,175.12,172.01,81510101,14250391040.0,1.75,-2.56,-4.56,0.53
2024-03-05,168.98,168.34,170.26,167.84,95132355,16201592576.0,1.4,-2.87,-4.98,0.62
2024-03-06,169.28,167.34,169.46,166.9,68587707,11628293632.0,1.52,-0.59,-1.0,0.44
2024-03-07,167.37,167.22,168.95,166.71,71765061,12156447232.0,1.34,-0.07,-0.12,0.46
2024-03-08,167.22,168.95,171.92,167.16,76267041,13084393728.0,2.85,1.03,1.73,0.49
2024-03-11,171.16,170.97,172.6,170.27,60139473,10401319424.0,1.38,1.2,2.02,0.39
2024-03-12,171.37,171.45,172.25,169.23,59825372,10340597760.0,1.77,0.28,0.48,0.39
2024-03-13,170.99,169.35,171.405,168.98,52488692,8993681664.0,1.41,-1.22,-2.1,0.34
2024-03-14,171.13,171.22,172.528,170.27,72913507,12621741056.0,1.33,1.1,1.87,0.47
2024-03-15,169.39,170.84,170.84,168.505,121752699,20909595136.0,1.36,-0.22,-0.38,0.79
2024-03-18,173.79,171.94,175.93,171.74,75604184,13268663808.0,2.45,0.64,1.1,0.49
2024-03-19,172.56,174.3,174.825,171.25,55215244,9687696384.0,2.08,1.37,2.36,0.36
2024-03-20,173.94,176.89,176.89,173.31,53423102,9466649344.0,2.05,1.49,2.59,0.35
2024-03-21,175.27,169.59,175.71,169.06,106181270,18338930688.0,3.76,-4.13,-7.3,0.69
2024-03-22,169.98,170.5,171.27,168.28,71160138,12244991744.0,1.76,0.54,0.91,0.46
2024-03-25,168.785,169.07,170.16,167.67,54288328,9267373312.0,1.46,-0.84,-1.43,0.35
2024-03-26,168.22,167.93,169.64,167.8,57388449,9775688192.0,1.09,-0.67,-1.14,0.37
2024-03-27,168.63,171.53,171.82,168.33,60273265,10402162688.0,2.08,2.14,3.6,0.39
2024-03-28,169.97,169.7,170.45,168.73,65672690,11253382400.0,1.0,-1.07,-1.83,0.43
2024-04-01,169.41,168.25,169.47,167.695,46240500,7863922944.0,1.05,-0.85,-1.45,0.3
2024-04-02,167.3,167.06,167.56,166.45,49329481,8331525888.0,0.66,-0.71,-1.19,0.32
2024-04-03,167.01,167.87,168.9,166.8,47691715,8101177344.0,1.26,0.48,0.81,0.31
2024-04-04,168.51,167.04,170.14,167.04,53704386,9134408960.0,1.85,-0.49,-0.83,0.35
2024-04-05,167.81,167.8,168.61,167.17,42104826,7142877952.0,0.86,0.45,0.76,0.27
2024-04-08,167.25,166.67,167.42,166.46,37425513,6312259328.0,0.57,-0.67,-1.13,0.24
2024-04-09,166.92,167.89,168.3,166.57,42451209,7202696704.0,1.04,0.73,1.22,0.28
2024-04-10,167.02,166.0,167.31,165.33,49709336,8349551104.0,1.18,-1.13,-1.89,0.32
2024-04-11,166.56,173.26,173.68,166.38,91070275,15730207744.0,4.4,4.37,7.26,0.59
2024-04-12,172.48,174.77,176.58,172.43,101670886,17932616448.0,2.4,0.87,1.51,0.66
2024-04-15,173.58,170.91,174.85,170.72,73531773,12805734400.0,2.36,-2.21,-3.86,0.48
2024-04-16,169.97,167.6,171.98,166.49,73711235,12534791424.0,3.21,-1.94,-3.31,0.48
2024-04-17,167.83,166.22,168.87,166.22,50901210,8602521088.0,1.58,-0.82,-1.38,0.33
2024-04-18,166.25,165.26,166.86,164.77,43122903,7219359232.0,1.26,-0.58,-0.96,0.28
2024-04-19,164.43,163.22,164.62,162.295,68149377,11254330880.0,1.41,-1.23,-2.04,0.44
2024-04-22,163.735,164.06,165.48,162.99,48116443,7984372480.0,1.53,0.51,0.84,0.31
2024-04-23,163.57,165.12,165.27,163.14,49537761,8247994112.0,1.3,0.65,1.06,0.32
2024-04-24,164.76,167.24,167.52,164.43,48251835,8127988992.0,1.87,1.28,2.12,0.31
2024-04-25,167.745,168.11,168.83,166.371,50558329,8566823936.0,1.47,0.52,0.87,0.33
2024-04-26,168.1,167.52,169.56,167.4,44838354,7622761984.0,1.28,-0.35,-0.59,0.29
2024-04-29,171.59,171.72,174.25,171.32,68169419,11891807232.0,1.75,2.51,4.2,0.44
2024-04-30,171.55,168.55,173.21,168.22,65934776,11347022080.0,2.91,-1.85,-3.17,0.43
2024-05-01,167.8,167.52,170.925,167.33,50383147,8601442816.0,2.13,-0.61,-1.03,0.33
2024-05-02,170.73,171.25,171.635,169.11,94214915,16248562432.0,1.51,2.23,3.73,0.61
2024-05-03,184.865,181.6,185.22,180.88,163224109,30130231808.0,2.53,6.04,10.35,1.06
2024-05-06,180.574,179.93,182.42,178.64,78569667,14287044096.0,2.08,-0.92,-1.67,0.51
2024-05-07,181.67,180.62,183.12,179.54,77305771,14134308096.0,1.99,0.38,0.69,0.5
2024-05-08,181.07,180.96,181.29,179.67,45057087,8221519360.0,0.9,0.19,0.34,0.29
2024-05-09,180.78,182.79,182.88,180.33,48982972,9012409856.0,1.41,1.01,1.83,0.32
2024-05-10,183.37,181.52,183.56,180.6,50759496,9293987584.0,1.62,-0.69,-1.27,0.33
2024-05-13,183.905,184.75,185.57,183.09,72044809,13414493184.0,1.37,1.78,3.23,0.47
2024-05-14,185.98,185.9,186.77,184.76,52393619,9811584768.0,1.09,0.62,1.15,0.34
2024-05-15,186.38,188.19,189.12,185.84,70399988,13354999552.0,1.76,1.23,2.29,0.46
2024-05-16,188.94,188.31,189.565,188.13,52845230,10047740672.0,0.76,0.06,0.12,0.34
2024-05-17,187.98,188.34,189.28,187.65,41282925,7841147392.0,0.87,0.02,0.03,0.27
2024-05-20,187.795,189.51,190.39,187.48,44361275,8476871936.0,1.55,0.62,1.17,0.29
2024-05-21,189.56,190.82,191.2,189.39,42309401,8134248448.0,0.96,0.69,1.31,0.28
2024-05-22,190.735,189.37,191.293,188.74,34648547,6633261056.0,1.34,-0.76,-1.45,0.23
2024-05-23,189.45,185.35,189.47,185.095,51005924,9600947456.0,2.31,-2.12,-4.02,0.33
2024-05-24,187.29,188.45,189.05,186.51,36326975,6892131328.0,1.37,1.67,3.1,0.24
2024-05-28,189.98,188.46,191.47,187.57,52280051,9973509888.0,2.07,0.01,0.01,0.34
2024-05-29,188.08,188.76,190.717,187.98,53068016,10142194688.0,1.45,0.16,0.3,0.35
2024-05-30,189.23,189.76,190.65,189.1,49947941,9560559360.0,0.82,0.53,1.0,0.33
2024-05-31,189.91,190.72,191.04,188.38,75158277,14405158144.0,1.4,0.51,0.96,0.49
2024-06-03,191.37,192.5,193.46,190.99,50080539,9705280768.0,1.3,0.93,1.78,0.33
2024-06-04,193.105,192.82,193.79,191.504,47471445,9223991296.0,1.19,0.17,0.32,0.31
2024-06-05,193.87,194.34,195.37,193.34,54156785,10608396800.0,1.05,0.79,1.52,0.35
2024-06-06,194.155,192.95,194.97,192.64,41181753,8044086528.0,1.2,-0.72,-1.39,0.27
2024-06-07,193.12,195.36,195.41,192.61,53103912,10404598528.0,1.45,1.25,2.41,0.35
2024-06-10,195.37,191.59,195.77,190.62,97262077,18910246656.0,2.64,-1.93,-3.77,0.63
2024-06-11,192.12,205.62,205.63,192.1,172373296,35707128320.0,7.06,7.32,14.03,1.12
2024-06-12,205.84,211.54,218.67,205.37,198134293,42690792960.0,6.47,2.88,5.92,1.29
2024-06-13,213.21,212.71,215.22,210.07,97862729,20945501440.0,2.43,0.55,1.17,0.64
2024-06-14,212.32,210.96,213.64,209.77,70122748,14917321728.0,1.82,-0.82,-1.75,0.46
2024-06-17,211.84,215.14,217.42,211.19,93728300,20286734592.0,2.95,1.98,4.18,0.61
2024-06-18,216.06,212.76,217.1,211.47,79943254,17166542080.0,2.62,-1.11,-2.38,0.52
2024-06-20,212.4,208.15,212.71,207.32,86172451,18147391232.0,2.53,-2.17,-4.61,0.56
2024-06-21,208.86,205.96,210.36,205.58,246421353,51388159232.0,2.3,-1.05,-2.19,1.61
2024-06-24,206.19,206.61,211.17,205.06,80727006,16908096512.0,2.97,0.32,0.65,0.53
2024-06-25,207.62,207.54,209.85,207.08,56713868,11894117632.0,1.34,0.45,0.93,0.37
2024-06-26,209.97,211.72,213.33,209.11,66213186,14115302144.0,2.03,2.01,4.18,0.43
2024-06-27,213.16,212.57,214.21,210.82,49772707,10648013824.0,1.6,0.4,0.85,0.32
2024-06-28,214.24,209.09,214.54,208.77,82542718,17553084416.0,2.71,-1.64,-3.48,0.54
2024-07-01,210.56,215.22,215.98,210.39,60402929,13017385728.0,2.67,2.93,6.13,0.4
2024-07-02,214.62,218.74,218.85,213.57,58046178,12722850304.0,2.45,1.64,3.52,0.38
2024-07-03,218.47,220.02,220.02,217.5,37369801,8246961664.0,1.15,0.59,1.28,0.25
2024-07-05,220.12,224.81,224.92,220.12,60412408,13588773632.0,2.18,2.18,4.79,0.4
2024-07-08,225.56,226.29,226.32,221.72,59085861,13370768128.0,2.05,0.66,1.48,0.39
2024-07-09,226.4,227.15,227.87,224.842,48169822,10993328128.0,1.34,0.38,0.86,0.32
2024-07-10,227.77,231.45,231.55,227.72,62627687,14509314304.0,1.69,1.89,4.3,0.41
2024-07-11,229.86,226.04,230.86,224.24,64710617,14780293120.0,2.86,-2.34,-5.41,0.43
2024-07-12,227.39,229.01,231.11,227.15,53046527,12256843776.0,1.75,1.31,2.97,0.35
2024-07-15,234.95,232.87,235.7,231.56,62631252,14714868224.0,1.81,1.69,3.86,0.41
2024-07-16,233.47,233.29,234.74,230.8,43234278,10131220480.0,1.69,0.18,0.42,0.28
2024-07-17,227.92,227.35,229.93,225.11,57345884,13121420288.0,2.07,-2.55,-5.94,0.38
2024-07-18,228.75,222.65,228.91,220.74,66034585,14868401664.0,3.59,-2.07,-4.7,0.43
2024-07-19,223.29,222.78,225.27,221.745,49151453,11046949632.0,1.58,0.06,0.13,0.32
2024-07-22,225.48,222.43,226.25,221.56,48201835,10844992768.0,2.11,-0.16,-0.35,0.32
2024-07-23,222.835,223.48,225.41,221.15,39960260,8991633664.0,1.92,0.47,1.05,0.26
2024-07-24,222.47,217.01,223.27,215.6,61777576,13534123008.0,3.43,-2.9,-6.47,0.41
2024-07-25,217.4,215.96,219.32,213.09,51391199,11209297664.0,2.87,-0.48,-1.05,0.34
2024-07-26,217.17,216.43,217.96,214.48,41601345,9064223488.0,1.61,0.22,0.47,0.27
2024-07-29,215.43,216.71,217.77,214.22,36311778,7921221632.0,1.64,0.13,0.28,0.24
2024-07-30,217.66,217.27,218.795,214.59,41643840,9096794880.0,1.94,0.26,0.56,0.27
2024-07-31,219.91,220.55,222.29,219.1,50036262,11126699520.0,1.47,1.51,3.28,0.33
2024-08-01,222.84,216.83,222.95,215.49,62500996,13723210240.0,3.38,-1.69,-3.72,0.41
2024-08-02,217.62,218.33,224.07,216.18,105568560,23462767360.0,3.64,0.69,1.5,0.69
2024-08-05,197.56,207.74,211.97,194.47,119548589,24880508160.0,8.02,-4.85,-10.59,0.79
2024-08-06,203.77,205.7,208.46,199.54,69660488,14389860864.0,4.29,-0.98,-2.04,0.46
2024-08-07,205.37,208.29,212.11,204.86,63516417,13403032832.0,3.52,1.26,2.59,0.42
2024-08-08,211.58,211.78,212.67,207.3,47161149,10025564672.0,2.58,1.68,3.49,0.31
2024-08-09,210.57,214.71,215.25,210.44,42201646,9082586624.0,2.27,1.38,2.93,0.28
2024-08-12,214.79,216.25,218.23,214.32,38028092,8272960000.0,1.82,0.72,1.54,0.25
2024-08-13,217.73,219.99,220.61,217.73,44155331,9758093312.0,1.33,1.73,3.74,0.29
2024-08-14,219.29,220.44,221.75,218.42,41960574,9294184960.0,1.51,0.2,0.45,0.28
2024-08-15,223.32,223.44,224.07,221.48,46414013,10422435072.0,1.17,1.36,3.0,0.31
2024-08-16,222.64,224.77,225.547,222.37,44340240,9995887360.0,1.42,0.6,1.33,0.29
2024-08-19,224.44,224.61,224.71,221.76,40687813,9147844352.0,1.31,-0.07,-0.16,0.27
2024-08-20,224.49,225.23,225.89,224.17,30299033,6863993344.0,0.77,0.28,0.62,0.2
2024-08-21,225.24,225.12,226.7,223.77,34765480,7872646400.0,1.3,-0.05,-0.11,0.23
2024-08-22,226.51,223.25,227.06,222.62,43695321,9859896576.0,1.97,-0.83,-1.87,0.29
2024-08-23,224.379,225.56,226.94,223.05,38677250,8763163136.0,1.74,1.03,2.31,0.25
2024-08-26,225.48,225.9,226.0,222.611,30602208,6917056768.0,1.5,0.15,0.34,0.2
2024-08-27,224.715,226.75,227.57,223.61,35934559,8184000768.0,1.75,0.38,0.85,0.24
2024-08-28,226.64,225.21,228.58,224.4,38052167,8655849728.0,1.84,-0.68,-1.54,0.25
2024-08-29,228.82,228.51,231.64,227.6,51906297,11990591232.0,1.79,1.47,3.3,0.34
2024-08-30,228.91,227.72,229.12,226.2,52990770,12129484288.0,1.28,-0.35,-0.79,0.35
2024-09-03,227.27,221.49,227.72,219.89,50190574,11230039808.0,3.44,-2.74,-6.23,0.33
2024-09-04,220.38,219.57,220.5,216.2,43840196,9641361408.0,1.94,-0.87,-1.92,0.29
2024-09-05,220.345,221.1,224.2,220.24,36615398,8172293888.0,1.8,0.7,1.53,0.24
2024-09-06,222.67,219.54,223.96,218.49,48423011,10735571456.0,2.47,-0.71,-1.56,0.32
2024-09-09,219.54,219.63,219.99,215.43,67179965,14732487424.0,2.08,0.04,0.09,0.44
2024-09-10,217.64,218.83,220.2,215.45,51591033,11326103552.0,2.16,-0.36,-0.8,0.34
2024-09-11,220.175,221.38,221.81,216.61,44587072,9862233600.0,2.38,1.17,2.55,0.29
2024-09-12,221.22,221.49,222.27,218.54,37498225,8339208704.0,1.68,0.05,0.11,0.25
2024-09-13,222.3,221.22,222.76,220.63,36766619,8196115712.0,0.96,-0.12,-0.27,0.24
2024-09-16,215.26,215.04,215.94,212.64,59357427,12813182720.0,1.49,-2.79,-6.18,0.39
2024-09-17,214.47,215.51,215.62,213.22,45519339,9840885760.0,1.12,0.22,0.47,0.3
2024-09-18,216.27,219.41,221.43,216.26,59894928,13203447296.0,2.4,1.81,3.9,0.39
2024-09-19,223.71,227.59,228.54,223.35,66781315,15254368256.0,2.37,3.73,8.18,0.44
2024-09-20,228.69,226.92,231.81,226.34,318679888,73016651776.0,2.4,-0.29,-0.67,2.1
2024-09-23,226.06,225.19,228.17,224.53,54146023,12293065472.0,1.6,-0.76,-1.73,0.36
2024-09-24,227.365,226.09,228.07,224.45,43556068,9897076992.0,1.61,0.4,0.9,0.29
2024-09-25,223.65,225.09,226.01,222.74,42308715,9554978560.0,1.45,-0.44,-1.0,0.28
2024-09-26,226.02,226.24,227.22,224.13,36636707,8326099456.0,1.37,0.51,1.15,0.24
2024-09-27,227.18,226.51,228.24,226.02,34025967,7763741184.0,0.98,0.12,0.27,0.22
2024-09-30,228.76,231.72,231.72,228.37,54793391,12717004800.0,1.48,2.3,5.21,0.36
2024-10-01,228.24,224.93,228.37,222.46,63285048,14295723264.0,2.55,-2.93,-6.79,0.42
2024-10-02,224.61,225.5,226.09,221.74,32880605,7432564480.0,1.93,0.25,0.57,0.22
2024-10-03,223.86,224.39,225.525,222.04,34044158,7660204288.0,1.55,-0.49,-1.11,0.23
2024-10-04,226.62,225.52,226.72,222.85,37345098,8433975552.0,1.72,0.5,1.13,0.25
2024-10-07,223.22,220.41,224.41,220.05,39505354,8822319616.0,1.93,-2.27,-5.11,0.26
2024-10-08,223.02,224.49,224.7,221.97,31855693,7172986112.0,1.24,1.85,4.08,0.21
2024-10-09,223.95,228.26,228.47,223.55,33591091,7668695296.0,2.19,1.68,3.77,0.22
2024-10-10,226.5,227.76,228.22,225.89,28183544,6442122496.0,1.02,-0.22,-0.5,0.19
2024-10-11,228.02,226.27,228.13,226.06,31759188,7241745920.0,0.91,-0.65,-1.49,0.21
2024-10-14,227.42,230.02,230.45,227.32,39882085,9202001920.0,1.38,1.66,3.75,0.26
