datetime,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率
2022-01-03,29.709,30.015,30.605,29.679,39240294,11863191296.0,3.16,2.42,0.71,1.57
2022-01-04,30.171,29.184,30.362,28.243,52715440,15323857152.0,7.06,-2.77,-0.831,2.11
2022-01-05,28.843,27.498,29.31,27.427,49806388,14099885056.0,6.45,-5.78,-1.686,1.99
2022-01-06,27.534,28.072,28.332,26.959,45418637,12696537088.0,4.99,2.09,0.574,1.82
2022-01-07,28.052,27.141,28.315,26.951,40993851,11279883520.0,4.86,-3.32,-0.931,1.64
2022-01-10,26.475,27.294,27.363,25.538,59468095,15700588288.0,6.72,0.56,0.153,2.38
2022-01-11,27.217,27.711,27.959,26.733,40408929,11131425024.0,4.49,1.53,0.417,1.62
2022-01-12,27.961,27.893,28.489,27.502,38341348,10765797632.0,3.56,0.66,0.182,1.53
2022-01-13,28.273,26.469,28.374,26.392,53886809,14625477888.0,7.11,-5.11,-1.424,2.16
2022-01-14,26.194,26.836,27.091,26.104,39583235,10605089024.0,3.73,1.39,0.367,1.58
2022-01-18,26.154,25.797,26.532,25.664,42530617,11110820608.0,3.23,-3.87,-1.039,1.7
2022-01-19,25.973,24.961,26.437,24.946,48831451,12518526976.0,5.78,-3.24,-0.836,1.95
2022-01-20,25.198,24.044,25.473,23.972,43518073,10872693248.0,6.01,-3.67,-0.917,1.74
2022-01-21,23.401,23.268,24.717,23.157,71895784,17126036736.0,6.49,-3.23,-0.776,2.88
2022-01-24,22.224,23.266,23.274,20.782,91581063,20260370688.0,10.71,-0.01,-0.002,3.66
2022-01-25,22.44,22.218,22.837,21.894,66461636,14912377856.0,4.05,-4.5,-1.048,2.66
2022-01-26,23.134,22.666,23.951,22.194,75595873,17567540736.0,7.91,2.02,0.448,3.02
2022-01-27,23.462,21.838,23.889,21.569,57335272,12851448832.0,10.24,-3.65,-0.828,2.29
2022-01-28,21.906,22.734,22.752,21.19,54377425,12025250048.0,7.15,4.1,0.896,2.18
2022-01-31,23.076,24.38,24.403,22.946,56467968,13516598272.0,6.41,7.24,1.646,2.25
2022-02-01,24.998,24.532,25.039,23.784,51892517,12641560832.0,5.15,0.62,0.152,2.07
2022-02-02,25.688,25.136,25.711,24.447,54341941,13666178560.0,5.15,2.46,0.604,2.17
2022-02-03,24.352,23.842,24.971,23.674,41017778,10018605824.0,5.16,-5.15,-1.294,1.64
2022-02-04,23.866,24.213,24.529,23.526,35482850,8594854400.0,4.21,1.56,0.371,1.42
2022-02-07,24.266,24.622,25.076,24.096,37686750,9334804992.0,4.05,1.69,0.409,1.5
2022-02-08,24.253,25.002,25.124,23.874,41035864,10151670272.0,5.08,1.54,0.38,1.64
2022-02-09,25.516,26.599,26.619,25.247,52428166,13747756032.0,5.49,6.39,1.597,2.09
2022-02-10,25.889,25.718,26.819,25.494,51319972,13503426304.0,4.98,-3.31,-0.881,2.05
