datetime,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,135.96,138.27,138.84,134.59,198247166,27195959040.0,3.17,2.99,4.02,0.81
2025-01-03,139.97,144.43,144.86,139.69,229322478,32923523584.0,3.74,4.46,6.16,0.94
2025-01-06,148.55,149.39,152.116,147.78,265377359,39901226240.0,3.0,3.43,4.96,1.08
2025-01-07,152.99,140.1,153.09,139.97,351782176,50495020544.0,8.78,-6.22,-9.29,1.44
2025-01-08,142.54,140.07,143.91,137.52,227349948,31980985344.0,4.56,-0.02,-0.03,0.93
2025-01-10,137.41,135.87,139.88,134.18,207602514,28197931520.0,4.07,-3.0,-4.2,0.85
2025-01-13,129.95,133.19,133.45,129.47,204808914,27029107200.0,2.93,-1.97,-2.68,0.84
2025-01-14,136.01,131.72,136.34,130.01,195590485,25852551424.0,4.75,-1.1,-1.47,0.8
2025-01-15,133.61,136.2,136.41,131.25,185217338,24974661376.0,3.92,3.4,4.48,0.76
2025-01-16,138.6,133.53,138.71,133.45,209235583,28379758336.0,3.86,-1.96,-2.67,0.85
2025-01-17,136.65,137.67,138.46,135.425,201188760,27649632256.0,2.27,3.1,4.14,0.82
2025-01-21,139.12,140.79,141.79,137.05,197748985,27694181632.0,3.44,2.27,3.12,0.81
2025-01-22,144.62,147.03,147.75,143.63,237651395,34842432000.0,2.93,4.43,6.24,0.97
2025-01-23,145.01,147.18,147.19,143.68,155915549,22742334464.0,2.39,0.1,0.15,0.64
2025-01-24,148.33,142.58,148.93,141.84,234657635,33882085888.0,4.82,-3.13,-4.6,0.96
2025-01-27,124.76,118.38,128.36,116.66,818830896,98915516416.0,8.21,-16.97,-24.2,3.35
2025-01-28,121.77,128.95,128.96,116.21,579666352,71731523584.0,10.77,8.93,10.57,2.37
2025-01-29,126.46,123.66,126.85,120.01,467120640,57457604352.0,5.3,-4.1,-5.29,1.91
2025-01-30,123.06,124.61,124.96,118.06,392925472,47662209536.0,5.58,0.77,0.95,1.61
2025-01-31,123.74,120.03,127.81,119.15,390372896,48307657984.0,6.95,-3.68,-4.58,1.59
2025-02-03,114.71,116.62,118.53,112.97,371235680,43090737152.0,4.63,-2.84,-3.41,1.52
2025-02-04,116.92,118.61,121.16,116.66,256550040,30554910720.0,3.86,1.71,1.99,1.05
2025-02-05,121.72,124.79,124.96,120.72,263110629,32440860928.0,3.57,5.21,6.18,1.07
2025-02-06,127.38,128.64,128.73,125.17,251483574,32028771328.0,2.85,3.09,3.85,1.03
2025-02-07,129.18,129.8,130.33,124.96,228186298,29456673792.0,4.17,0.9,1.16,0.93
2025-02-10,130.05,133.53,134.96,129.92,216989086,29034846976.0,3.88,2.87,3.73,0.89
2025-02-11,132.54,132.76,134.44,130.98,178902379,23824661504.0,2.59,-0.58,-0.77,0.73
2025-02-12,129.98,131.1,132.2,129.04,160278552,21018145792.0,2.38,-1.25,-1.66,0.65
2025-02-13,131.515,135.25,136.46,131.13,197429975,26605362432.0,4.07,3.17,4.15,0.81
2025-02-14,136.44,138.81,139.21,135.46,195479557,26891708672.0,2.77,2.63,3.56,0.8
2025-02-18,141.23,139.36,143.4,137.885,219176627,30783678976.0,3.97,0.4,0.55,0.9
2025-02-19,139.47,139.19,141.32,137.18,167536006,23397168896.0,2.97,-0.12,-0.17,0.68
