datetime,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率
2021-01-04,270.68,264.84,270.9,261.1,15106113,4066957136.0,3.64,-1.57,-4.22,0.53
2021-01-05,264.19,266.87,268.3,264.11,9871557,2674902336.0,1.58,0.77,2.03,0.35
2021-01-06,257.9,259.21,263.65,255.91,24354149,6447460864.0,2.9,-2.87,-7.66,0.85
2021-01-07,261.8,264.64,267.51,260.68,15789756,4247739808.0,2.63,2.09,5.43,0.55
2021-01-08,264.21,263.47,264.85,259.08,18528251,4923281152.0,2.18,-0.44,-1.17,0.65
2021-01-11,256.38,252.74,259.37,251.8,30412286,7874565120.0,2.87,-4.07,-10.73,1.07
2021-01-12,252.53,246.99,255.62,246.2,26449943,6691218688.0,3.73,-2.28,-5.75,0.93
2021-01-13,247.45,247.54,249.85,245.1,19528938,4915839488.0,1.92,0.22,0.55,0.69
2021-01-14,249.3,241.54,250.93,240.51,29739404,7390987008.0,4.21,-2.42,-6.0,1.04
2021-01-15,243.8,247.26,249.76,243.06,24942930,6268673280.0,2.77,2.37,5.72,0.88
2021-01-19,252.8,257.0,258.1,248.62,28028546,7236149248.0,3.83,3.94,9.74,0.98
2021-01-20,264.83,263.38,266.22,259.5,25199919,6735196928.0,2.61,2.48,6.38,0.88
2021-01-21,265.16,268.77,269.5,263.39,20838687,5663095552.0,2.32,2.05,5.39,0.73
2021-01-22,267.91,270.4,274.37,267.9,21954042,6052097024.0,2.41,0.61,1.63,0.77
2021-01-25,274.04,273.91,276.0,267.41,19086990,5278922240.0,3.18,1.3,3.51,0.67
2021-01-26,274.04,277.95,281.29,273.71,19373636,5467486464.0,2.77,1.47,4.04,0.68
2021-01-27,278.43,268.04,279.35,264.02,35346194,9691096576.0,5.52,-3.57,-9.91,1.24
2021-01-28,273.08,260.9,282.69,260.6,37758844,10319113216.0,8.24,-2.66,-7.14,1.33
2021-01-29,261.2,254.23,262.46,250.75,30389499,7857838592.0,4.49,-2.56,-6.67,1.07
2021-02-01,255.42,257.91,260.07,250.81,22914255,5964454400.0,3.64,1.45,3.68,0.8
2021-02-02,259.9,262.98,264.75,259.17,17320788,4623361280.0,2.16,1.97,5.07,0.61
2021-02-03,261.52,262.55,265.1,259.74,14223377,3796881824.0,2.04,-0.16,-0.43,0.5
2021-02-04,262.91,262.39,264.06,259.9,16059958,4266575056.0,1.58,-0.06,-0.16,0.56
2021-02-05,262.7,264.0,265.07,261.57,12454367,3335761664.0,1.33,0.61,1.61,0.44
2021-02-08,264.65,262.48,265.76,260.9,13755191,3668900800.0,1.84,-0.58,-1.52,0.48
2021-02-09,262.34,265.35,269.29,261.65,14613375,3952904736.0,2.91,1.09,2.87,0.51
2021-02-10,268.347,267.77,269.7,263.62,14687152,3976615264.0,2.29,0.91,2.42,0.52
2021-02-11,267.79,266.29,269.48,264.39,12828572,3465924640.0,1.9,-0.55,-1.48,0.45
2021-02-12,266.42,266.4,267.08,264.24,9097597,2453699712.0,1.07,0.04,0.11,0.32
2021-02-16,266.7,269.87,272.5,265.95,15417243,4226769232.0,2.46,1.3,3.47,0.54
2021-02-17,267.14,269.47,269.87,265.48,12763240,3471579360.0,1.63,-0.15,-0.4,0.45
2021-02-18,265.465,265.29,267.85,261.93,15249134,4095591744.0,2.2,-1.55,-4.18,0.54
2021-02-19,265.76,257.46,266.17,256.05,25622587,6749031168.0,3.81,-2.95,-7.83,0.9
2021-02-22,253.85,256.23,258.97,253.43,17434873,4542025728.0,2.15,-0.48,-1.23,0.61
2021-02-23,255.4,261.76,263.36,250.86,21924557,5769021696.0,4.88,2.16,5.53,0.77
2021-02-24,258.225,260.21,262.28,254.29,15736123,4142163776.0,3.05,-0.59,-1.55,0.55
2021-02-25,258.2,250.59,262.84,249.94,19053142,4938505728.0,4.96,-3.7,-9.62,0.67
2021-02-26,252.37,253.52,261.45,252.37,26619517,6935255552.0,3.62,1.17,2.93,0.93
2021-03-01,256.72,260.81,262.55,253.804,22157255,5810302208.0,3.45,2.88,7.29,0.78
2021-03-02,261.68,254.9,262.61,254.55,15191722,3994685536.0,3.09,-2.27,-5.91,0.53
2021-03-03,256.19,251.31,256.89,251.0,15513515,3993142576.0,2.31,-1.41,-3.59,0.54
2021-03-04,252.37,253.54,262.39,249.4,31626463,8197388800.0,5.17,0.89,2.23,1.11
2021-03-05,256.57,260.18,261.35,251.51,26820055,6992952320.0,3.88,2.62,6.64,0.94
2021-03-08,261.45,251.21,261.48,250.95,18391768,4784307456.0,4.05,-3.45,-8.97,0.65
2021-03-09,257.075,261.64,264.43,255.71,22039740,5846443008.0,3.47,4.15,10.43,0.77
2021-03-10,264.54,260.8,264.87,258.77,14210318,3771902656.0,2.33,-0.32,-0.84,0.5
2021-03-11,264.01,269.78,273.8,263.72,21833979,5988841216.0,3.87,3.44,8.98,0.77
2021-03-12,265.04,264.3,265.64,259.92,20600198,5497609728.0,2.12,-2.03,-5.48,0.72
2021-03-15,264.98,269.65,271.86,264.4,16856746,4600672512.0,2.82,2.02,5.35,0.59
2021-03-16,271.985,275.18,278.04,270.7,22437665,6278480384.0,2.72,2.05,5.53,0.79
2021-03-17,271.605,279.91,282.13,271.31,21315044,6000647680.0,3.93,1.72,4.73,0.75
2021-03-18,275.77,274.52,281.09,274.18,18754853,5280936704.0,2.47,-1.93,-5.39,0.66
2021-03-19,277.12,286.01,288.7,277.095,38930536,11246248448.0,4.23,4.19,11.49,1.37
2021-03-22,286.35,289.44,295.605,282.65,28273073,8343083264.0,4.53,1.2,3.43,0.99
