datetime,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率
2020-01-02,142.58,144.42,144.53,142.13,22634546,3615509840.0,1.7,2.06,2.92,0.3
2020-01-03,142.12,142.42,143.74,141.86,21121681,3362709040.0,1.3,-1.38,-2.0,0.28
2020-01-06,140.88,142.83,142.9,140.31,20826702,3299661296.0,1.82,0.29,0.41,0.27
2020-01-07,143.12,141.38,143.47,141.12,21881740,3464529680.0,1.65,-1.02,-1.45,0.29
2020-01-08,142.73,143.89,144.6,141.75,27762026,4432835072.0,2.02,1.78,2.51,0.36
2020-01-09,145.64,145.89,146.02,144.83,21399951,3462384848.0,0.83,1.39,2.0,0.28
2020-01-10,146.62,145.14,147.02,144.98,20733946,3361461520.0,1.4,-0.51,-0.75,0.27
2020-01-13,145.56,147.08,147.11,145.06,21637007,3515478752.0,1.41,1.34,1.94,0.28
2020-01-14,147.19,145.93,147.4,145.52,23500783,3824040352.0,1.28,-0.78,-1.15,0.31
2020-01-15,146.42,146.98,147.74,146.37,21417871,3498700320.0,0.94,0.72,1.05,0.28
2020-01-16,148.15,149.97,150.04,147.83,23865360,3945425200.0,1.5,2.03,2.99,0.31
2020-01-17,151.22,150.9,151.27,149.23,34371659,5727103232.0,1.36,0.62,0.93,0.45
2020-01-21,150.48,150.3,151.99,150.23,29517191,4929743360.0,1.17,-0.4,-0.6,0.39
2020-01-22,151.2,149.5,151.29,149.48,24138777,4016168192.0,1.2,-0.53,-0.8,0.32
2020-01-23,149.99,150.52,150.6,149.07,19680766,3273298304.0,1.02,0.68,1.02,0.26
2020-01-24,151.31,148.84,151.33,148.25,24918117,4132997248.0,2.05,-1.12,-1.68,0.33
2020-01-27,144.95,146.08,147.18,144.0,32078067,5206715136.0,2.14,-1.85,-2.76,0.42
2020-01-28,147.58,149.26,149.56,146.87,24899940,4109672400.0,1.84,2.18,3.18,0.33
2020-01-29,151.64,151.84,152.55,149.49,35127771,5888123392.0,2.05,1.73,2.58,0.46
2020-01-30,157.85,156.58,157.85,154.59,51597470,8897376256.0,2.15,3.12,4.74,0.68
2020-01-31,156.01,154.03,156.2,153.38,36142690,6167026944.0,1.8,-1.63,-2.55,0.48
2020-02-03,154.23,158.18,158.3,154.2,30149052,5222750720.0,2.66,2.69,4.15,0.4
