datetime,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率
2023-01-03,118.47,108.1,118.8,104.64,231402818,25244930560.0,11.5,-12.24,-15.08,7.31
2023-01-04,109.11,113.64,114.59,107.52,180388976,20184161024.0,6.54,5.12,5.54,5.7
2023-01-05,110.51,110.34,111.75,107.16,157986324,17305070080.0,4.04,-2.9,-3.3,4.99
2023-01-06,103.0,113.06,114.39,101.81,220911051,24171441408.0,11.4,2.47,2.72,6.98
2023-01-09,118.96,119.77,123.52,117.11,190283951,23061579264.0,5.67,5.93,6.71,6.01
2023-01-10,121.07,118.85,122.76,114.92,167642485,19743670272.0,6.55,-0.77,-0.92,5.3
2023-01-11,122.09,123.22,125.95,120.51,183810771,22556840192.0,4.58,3.68,4.37,5.81
2023-01-12,122.56,123.56,124.131,117.0,169400913,20480680448.0,5.79,0.28,0.34,5.35
2023-01-13,116.55,122.4,122.63,115.6,180714119,21620653056.0,5.69,-0.94,-1.16,5.71
2023-01-17,125.695,131.49,131.7,125.02,186476985,24150324736.0,5.46,7.43,9.09,5.89
2023-01-18,136.555,128.78,136.68,127.01,195680318,25543867392.0,7.35,-2.06,-2.71,6.18
2023-01-19,127.26,127.17,129.99,124.308,170291880,21663985408.0,4.41,-1.25,-1.61,5.38
2023-01-20,128.68,133.42,133.51,127.347,138858136,18194788608.0,4.85,4.91,6.25,4.39
2023-01-23,135.87,143.75,145.379,134.27,203119211,28689531136.0,8.33,7.74,10.33,6.42
2023-01-24,143.0,143.89,146.5,141.1,158699056,22835207168.0,3.76,0.1,0.14,5.02
2023-01-25,141.905,144.43,146.41,138.07,192734347,27519593216.0,5.8,0.38,0.54,6.09
2023-01-26,159.965,160.27,161.42,154.76,234815090,37068473600.0,4.61,10.97,15.84,7.42
2023-01-27,162.43,177.9,180.68,161.17,306590608,53100687616.0,12.17,11.0,17.63,9.69
2023-01-30,178.05,166.66,179.77,166.5,230878807,39740572160.0,7.46,-6.32,-11.24,7.3
2023-01-31,164.57,173.22,174.3,162.78,196813541,33649402112.0,6.91,3.94,6.56,6.22
2023-02-01,173.89,181.41,183.805,169.93,213806323,37569933824.0,8.01,4.73,8.19,6.76
2023-02-02,187.325,188.27,196.75,182.61,217448287,41477350912.0,7.79,3.78,6.86,6.87
2023-02-03,183.95,189.98,199.0,183.69,232662023,45056067072.0,8.13,0.91,1.71,7.35
2023-02-06,193.01,194.76,198.17,189.92,186188131,36232484608.0,4.34,2.52,4.78,5.88
2023-02-07,196.43,196.81,197.5,189.55,186010325,36093322240.0,4.08,1.05,2.05,5.88
2023-02-08,196.1,201.29,203.0,194.31,180673644,36194427904.0,4.42,2.28,4.48,5.71
2023-02-09,207.775,207.32,214.0,204.77,215431442,45252838912.0,4.59,3.0,6.03,6.81
