datetime,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,422.13,415.18,422.67,411.45,16896469,7091267328.0,2.68,-0.7,-2.92,0.23
2025-01-03,417.68,419.95,420.63,416.14,16662943,7040400384.0,1.08,1.15,4.77,0.22
2025-01-06,424.6,424.45,430.92,422.077,20573648,8826093568.0,2.11,1.07,4.5,0.28
2025-01-07,425.6,418.97,427.25,417.4,18139065,7700399872.0,2.32,-1.29,-5.48,0.24
2025-01-08,420.06,421.16,423.57,418.14,15054575,6390824960.0,1.3,0.52,2.19,0.2
2025-01-10,421.23,415.55,421.31,411.62,20201132,8469224704.0,2.3,-1.33,-5.61,0.27
2025-01-13,411.835,413.79,415.1,408.89,17604780,7322378496.0,1.49,-0.42,-1.76,0.24
2025-01-14,414.41,412.27,416.34,407.32,16935856,7035595008.0,2.18,-0.37,-1.52,0.23
2025-01-15,415.73,422.91,424.75,414.865,19637838,8357576960.0,2.4,2.58,10.64,0.26
2025-01-16,425.295,421.18,426.09,420.99,15300023,6518461696.0,1.21,-0.41,-1.73,0.21
2025-01-17,430.685,425.63,431.08,424.77,26197507,11292377600.0,1.5,1.06,4.45,0.35
2025-01-21,426.8,425.1,427.5,422.195,26085703,11175859456.0,1.25,-0.12,-0.53,0.35
2025-01-22,434.16,442.8,443.87,432.6,27803811,12328723456.0,2.65,4.16,17.7,0.37
2025-01-23,438.6,443.31,443.35,438.105,18389270,8180923648.0,1.18,0.12,0.51,0.25
2025-01-24,441.76,440.66,443.25,438.0,15549453,6904573952.0,1.18,-0.6,-2.65,0.21
2025-01-27,420.61,431.16,431.8,420.1,35647805,15350756096.0,2.66,-2.16,-9.5,0.48
2025-01-28,431.2,443.8,444.98,427.98,23491703,10420365568.0,3.94,2.93,12.64,0.32
2025-01-29,443.29,438.93,443.48,437.0,23581370,10446489600.0,1.46,-1.1,-4.87,0.32
2025-01-30,415.37,411.59,419.46,409.76,54586260,22715865088.0,2.21,-6.23,-27.34,0.73
2025-01-31,415.58,411.66,417.29,411.51,34223388,14264866048.0,1.4,0.02,0.07,0.46
2025-02-03,408.2,407.52,412.01,405.26,25679149,10578763520.0,1.64,-1.01,-4.14,0.35
2025-02-04,409.285,408.97,410.52,406.34,20532096,8460601088.0,1.03,0.36,1.45,0.28
2025-02-05,408.95,409.89,410.427,407.0,16336188,6740139776.0,0.84,0.22,0.92,0.22
2025-02-06,410.6,412.42,414.8,410.6,16309755,6786014976.0,1.02,0.62,2.53,0.22
2025-02-07,413.08,406.35,415.25,404.7,22886844,9414381824.0,2.56,-1.47,-6.07,0.31
2025-02-10,410.31,408.82,412.062,407.52,20817919,8592102400.0,1.12,0.61,2.47,0.28
2025-02-11,406.24,408.04,409.09,405.9,18140592,7456205568.0,0.78,-0.19,-0.78,0.24
