datetime,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率
2023-01-03,85.46,85.82,86.96,84.205,76706040,6558853120.0,3.28,2.17,1.82,0.75
2023-01-04,86.55,85.14,86.98,83.36,68885123,5861383424.0,4.22,-0.79,-0.68,0.67
2023-01-05,85.33,83.12,85.42,83.07,67930825,5689970688.0,2.76,-2.37,-2.02,0.66
2023-01-06,83.03,86.08,86.4,81.43,83303361,7036020992.0,5.98,3.56,2.96,0.81
2023-01-09,87.46,87.36,89.48,87.08,65266056,5773105664.0,2.79,1.49,1.28,0.64
2023-01-10,87.57,89.87,90.185,87.29,67756601,6056073472.0,3.31,2.87,2.51,0.66
2023-01-11,90.93,95.09,95.26,90.93,103126183,9665548032.0,4.82,5.81,5.22,1.01
2023-01-12,96.93,95.27,97.19,93.5,85254781,8114117632.0,3.88,0.19,0.18,0.83
2023-01-13,94.18,98.12,98.37,94.12,85549432,8300493824.0,4.46,2.99,2.85,0.84
2023-01-17,98.68,96.05,98.89,95.73,72755001,7040174592.0,3.22,-2.11,-2.07,0.71
2023-01-18,97.25,95.46,99.32,95.38,79570370,7712452352.0,4.1,-0.61,-0.59,0.78
2023-01-19,94.74,93.68,95.44,92.86,69002663,6481144832.0,2.7,-1.86,-1.78,0.67
2023-01-20,93.86,97.25,97.354,93.203,67481539,6462952448.0,4.43,3.81,3.57,0.66
2023-01-23,97.56,97.52,97.78,95.86,76501103,7436057856.0,1.97,0.28,0.27,0.75
2023-01-24,96.93,96.32,98.09,96.0,66929452,6446644736.0,2.14,-1.23,-1.2,0.65
2023-01-25,92.56,97.18,97.24,91.52,94261570,8910928896.0,5.94,0.89,0.86,0.92
2023-01-26,98.235,99.22,99.49,96.92,68523557,6750359552.0,2.64,2.1,2.04,0.67
2023-01-27,99.53,102.24,103.485,99.53,87775614,8942024704.0,3.99,3.04,3.02,0.86
2023-01-30,101.09,100.55,101.74,99.01,70691860,7109254656.0,2.67,-1.65,-1.69,0.69
2023-01-31,101.155,103.13,103.348,101.14,66527253,6826866176.0,2.2,2.57,2.58,0.65
2023-02-01,102.53,105.15,106.24,101.24,80450121,8325914624.0,4.85,1.96,2.02,0.79
2023-02-02,110.245,112.91,114.0,108.88,158154243,17659618048.0,4.87,7.38,7.76,1.54
2023-02-03,105.26,103.39,108.78,102.52,144374828,15267111168.0,5.54,-8.43,-9.52,1.41
2023-02-06,102.925,102.18,103.948,100.65,81945199,8378155776.0,3.19,-1.17,-1.21,0.8
2023-02-07,101.17,102.11,102.41,98.08,119501301,11969361408.0,4.24,-0.07,-0.07,1.17
2023-02-08,102.04,100.05,102.67,98.775,75878304,7599749888.0,3.81,-2.02,-2.06,0.74
2023-02-09,101.32,98.24,101.78,97.57,64622489,6421520896.0,4.21,-1.81,-1.81,0.63
2023-02-10,97.56,97.61,98.816,96.23,52740133,5140596480.0,2.63,-0.64,-0.63,0.51
2023-02-13,97.85,99.54,99.68,96.91,52841464,5220312064.0,2.84,1.98,1.93,0.52
2023-02-14,98.41,99.7,100.921,97.52,56202898,5565838592.0,3.42,0.16,0.16,0.55
2023-02-15,99.09,101.16,101.17,98.45,48053879,4804049152.0,2.73,1.46,1.46,0.47
2023-02-16,99.21,98.15,100.63,98.1,56339173,5594457856.0,2.5,-2.98,-3.01,0.55
2023-02-17,97.8,97.2,97.94,95.65,60029405,5797558016.0,2.33,-0.97,-0.95,0.59
2023-02-21,95.335,94.58,95.605,94.27,56580360,5361979648.0,1.37,-2.7,-2.62,0.55
2023-02-22,95.1,95.79,97.01,94.8,59534094,5711814144.0,2.34,1.28,1.21,0.58
2023-02-23,96.12,95.82,96.43,93.67,48466994,4615963392.0,2.88,0.03,0.03,0.47
2023-02-24,93.53,93.5,94.14,92.319,57053812,5313055488.0,1.9,-2.42,-2.32,0.56
2023-02-27,94.28,93.76,94.78,93.14,47470321,4453213184.0,1.75,0.28,0.26,0.46
2023-02-28,93.14,94.23,94.69,92.92,43959290,4128370800.0,1.89,0.5,0.47,0.43
2023-03-01,93.87,92.17,94.68,91.59,52299524,4841368064.0,3.28,-2.19,-2.06,0.51
2023-03-02,91.41,92.13,92.23,90.39,55574820,5072868352.0,2.0,-0.04,-0.04,0.54
2023-03-03,92.74,94.9,94.94,92.66,55759609,5255120128.0,2.47,3.01,2.77,0.54
2023-03-06,95.19,93.75,96.545,93.74,52112355,4951681792.0,2.96,-1.21,-1.15,0.51
2023-03-07,94.06,93.55,95.09,92.78,49100668,4610946304.0,2.46,-0.21,-0.2,0.48
2023-03-08,93.6,93.92,94.165,92.18,44899128,4189630336.0,2.12,0.4,0.37,0.44
2023-03-09,93.68,92.25,96.21,92.18,56218705,5292099584.0,4.29,-1.78,-1.67,0.55
2023-03-10,92.67,90.73,93.57,90.245,69827490,6395997440.0,3.6,-1.65,-1.52,0.68
