datetime,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率
2022-01-03,167.55,170.405,170.704,166.161,3193457,10824806656.0,2.72,2.21,3.688,0.63
2022-01-04,170.438,167.522,171.4,166.35,3536258,11880455680.0,2.96,-1.69,-2.883,0.7
2022-01-05,166.883,164.357,167.126,164.357,3215136,10641708288.0,1.65,-1.89,-3.165,0.63
2022-01-06,163.451,163.254,164.8,161.937,2597889,8489975808.0,1.74,-0.67,-1.103,0.51
2022-01-07,163.839,162.554,165.243,162.04,2330295,7597323008.0,1.96,-0.43,-0.7,0.46
2022-01-10,160.586,161.486,161.662,156.305,4389915,13971740160.0,3.3,-0.66,-1.068,0.87
2022-01-11,161.5,165.362,166.35,160.702,3140279,10336696576.0,3.5,2.4,3.876,0.62
2022-01-12,166.575,165.207,166.878,164.417,2501456,8283885312.0,1.49,-0.09,-0.155,0.49
2022-01-13,165.251,161.214,166.221,161.091,2609415,8491011328.0,3.11,-2.42,-3.993,0.51
2022-01-14,160.15,162.138,162.25,159.801,2298743,7415071744.0,1.52,0.57,0.924,0.45
2022-01-18,159.105,158.918,159.734,157.665,3372072,10703950848.0,1.28,-1.99,-3.22,0.66
2022-01-19,158.762,156.299,159.25,156.25,2662096,8383198720.0,1.89,-1.65,-2.619,0.52
2022-01-20,156.766,151.668,158.0,151.351,3598666,11133213696.0,4.25,-2.96,-4.631,0.71
2022-01-21,149.95,142.643,150.9,142.07,8198572,23878665472.0,5.82,-5.95,-9.025,1.62
2022-01-24,139.0,144.544,144.945,135.352,7802237,21944919808.0,6.73,1.33,1.901,1.54
2022-01-25,142.243,139.986,143.6,138.145,4541233,12742345472.0,3.77,-3.15,-4.558,0.9
2022-01-26,144.75,138.873,145.185,137.319,4780085,13468799744.0,5.62,-0.8,-1.113,0.94
2022-01-27,140.8,139.638,144.244,139.35,3875790,10949964288.0,3.52,0.55,0.765,0.76
2022-01-28,140.861,143.978,143.998,137.929,3719599,10513011968.0,4.35,3.11,4.34,0.73
2022-01-31,144.75,149.574,150.361,144.301,3915372,11594337024.0,4.21,3.89,5.596,0.77
2022-02-01,150.0,151.194,151.708,147.628,2960992,8893263616.0,2.73,1.08,1.62,0.58
2022-02-02,155.05,150.613,155.075,148.864,4366488,13202550784.0,4.11,-0.38,-0.581,0.86
2022-02-03,141.738,138.846,144.248,138.333,11276568,31705340928.0,3.93,-7.81,-11.767,2.22
